Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear
Dan McFall,9,0,1,1,0.111,0,D,1984,1986
Jaret Anderson-Dolan,9,0,1,1,0.111,0,C/LW,2018,2021
Tony Licari,9,0,1,1,0.111,0,RW,1946,1947
Roman Tvrdon,9,0,1,1,0.111,2,RW,2003,2004
Don Cairns,9,0,1,1,0.111,2,LW,1975,1977
Kirby Law,9,0,1,1,0.111,4,RW,2000,2004
Maxime Fortunus,9,0,1,1,0.111,4,D,2009,2014
David Brine,9,0,1,1,0.111,4,C,2007,2008
Ed Cristofoli,9,0,1,1,0.111,4,RW,1989,1990
Jeannot Gilbert,9,0,1,1,0.111,4,C,1962,1965
JC Lipon,9,0,1,1,0.111,5,RW,2015,2016
Jason Jaspers,9,0,1,1,0.111,6,C,2001,2004
Mat Clark,9,0,1,1,0.111,6,D,2011,2015
Alain Belanger,9,0,1,1,0.111,6,RW,1977,1978
Christoph Bertschy,9,0,1,1,0.111,8,C/W,2015,2018
Gilles Bilodeau,9,0,1,1,0.111,25,D,1979,1980
Mike Moher,9,0,1,1,0.111,28,RW,1982,1983
Ron Talakoski,9,0,1,1,0.111,33,RW,1986,1988
Kevin Evans,9,0,1,1,0.111,44,LW,1990,1992
Bruce Greig,9,0,1,1,0.111,46,LW,1973,1975
Brian Kinsella,10,0,1,1,0.1,0,RW,1975,1977
Ryan MacInnis,10,0,1,1,0.1,0,C/LW,2019,2021
Clarence Drouillard,10,0,1,1,0.1,0,C,1937,1938
Sergei Zinovyev,10,0,1,1,0.1,2,C,2003,2004
Cameron Schilling,10,0,1,1,0.1,4,D,2012,2019
Alexander Volkov,10,0,1,1,0.1,6,RW/LW,2019,2021
Bernie Saunders,10,0,1,1,0.1,8,RW,1979,1981
Tommy Smith,10,0,1,1,0.1,11,C,1919,1920
Bryan Adams,11,0,1,1,0.091,2,LW/C,1999,2001
Dave Downie,11,0,1,1,0.091,2,C,1932,1933
Bob Liddington,11,0,1,1,0.091,2,LW,1970,1971
Timothy Liljegren,11,0,1,1,0.091,2,D,2019,2020
Mark Katic,11,0,1,1,0.091,4,D,2010,2011
Viktors Ignatjevs,11,0,1,1,0.091,6,D,1998,1999
Johan Sundstrom,11,0,1,1,0.091,6,C/RW,2013,2014
Mathieu Olivier,11,0,1,1,0.091,6,RW,2019,2021
Timo Helbling,11,0,1,1,0.091,8,D,2005,2007
Kyle Rossiter,11,0,1,1,0.091,9,D,2001,2004
Triston Grant,11,0,1,1,0.091,19,LW,2006,2010
Al Simmons,11,0,1,1,0.091,21,D,1971,1976
Peter Ambroziak,12,0,1,1,0.083,0,LW,1994,1995
Matt Ryan,12,0,1,1,0.083,2,C/LW,2005,2006
Michel Riesen,12,0,1,1,0.083,4,RW,2000,2001
Lean Bergmann,12,0,1,1,0.083,4,C/W,2019,2020
Brendan Shinnimin,12,0,1,1,0.083,8,C/LW,2014,2015
Harry Dick,12,0,1,1,0.083,12,D,1946,1947
Ryan Lomberg,12,0,1,1,0.083,32,LW,2017,2021
Sean Gagnon,12,0,1,1,0.083,34,D,1997,2001
Travis Morin,13,0,1,1,0.077,0,C,2010,2015
Norm McAtee,13,0,1,1,0.077,0,F,1946,1947
Cliff Thompson,13,0,1,1,0.077,2,D,1941,1949
Arnie Kullman,13,0,1,1,0.077,11,C,1947,1950
Martin Samuelsson,14,0,1,1,0.071,2,RW,2002,2004
Lars Zetterstrom,14,0,1,1,0.071,2,D,1978,1979
Greg Jacina,14,0,1,1,0.071,6,C/RW,2005,2007
Claude Julien,14,0,1,1,0.071,25,D,1984,1986
Greg Nemisz,15,0,1,1,0.067,0,RW,2010,2012
Todd Simon,15,0,1,1,0.067,0,C,1993,1994
Eddie Jeremiah,15,0,1,1,0.067,0,RW,1931,1932
Frank Dunlap,15,0,1,1,0.067,2,RW,1943,1944
Jarrett Deuling,15,0,1,1,0.067,11,LW,1995,1997
Michael Colman,15,0,1,1,0.067,32,D,1991,1992
Sergei Starikov,16,0,1,1,0.063,8,D,1989,1990
Darrell Scoville,16,0,1,1,0.063,12,D,1999,2004
Gustav Lindstrom,16,0,1,1,0.063,14,D,2019,2021
Dave Marcinyshyn,16,0,1,1,0.063,49,D,1990,1993
Gerry Denoird,17,0,1,1,0.059000000000000004,0,C,1922,1923
Claudio Scremin,17,0,1,1,0.059000000000000004,29,D,1991,1993
Gord Redahl,18,0,1,1,0.055999999999999994,2,F,1958,1959
Luke Johnson,18,0,1,1,0.055999999999999994,8,C,2018,2020
Dave Watson,18,0,1,1,0.055999999999999994,10,F,1979,1981
Casey Hankinson,18,0,1,1,0.055999999999999994,13,LW,2000,2004
Harry Radley,18,0,1,1,0.055999999999999994,13,D,1930,1937
Doug Friedman,18,0,1,1,0.055999999999999994,34,LW,1997,1999
T.J. Tynan,19,0,1,1,0.053,2,C/W,2016,2020
Alex Brooks,19,0,1,1,0.053,4,D,2006,2007
Al Nicholson,19,0,1,1,0.053,4,LW,1955,1957
Frank Heffernan,19,0,1,1,0.053,10,D,1919,1920
Bob Lemieux,19,0,1,1,0.053,12,D,1967,1968
Ivan Droppa,19,0,1,1,0.053,14,D,1993,1996
Burr Williams,19,0,1,1,0.053,28,D,1933,1937
Shawn Belle,20,0,1,1,0.05,2,D,2006,2011
Brett Lernout,21,0,1,1,0.048,6,D,2015,2018
Jeff Ware,21,0,1,1,0.048,12,D,1996,1999
Darren Reid,21,0,1,1,0.048,18,RW,2005,2007
Craig Martin,21,0,1,1,0.048,24,RW,1994,1997
Joe Finley,21,0,1,1,0.048,32,D,2011,2013
J.C. Beaudin,22,0,1,1,0.045,7,C/RW,2019,2020
Nikolai Tsulygin,22,0,1,1,0.045,8,D,1996,1997
Rob Robinson,22,0,1,1,0.045,8,D,1991,1992
Mike Vernace,22,0,1,1,0.045,10,D,2008,2011
Davis Payne,22,0,1,1,0.045,14,RW,1995,1997
Gordon Kannegiesser,23,0,1,1,0.043,15,D,1967,1972
Kyle Freadrich,23,0,1,1,0.043,75,LW,1999,2001
Doug Baldwin,24,0,1,1,0.042,8,D,1945,1948
Tom Fowler,24,0,1,1,0.042,18,C,1946,1947
Colten Teubert,24,0,1,1,0.042,25,D,2011,2012
Sammy McManus,26,0,1,1,0.038,8,LW,1934,1937
Gregory Stewart,26,0,1,1,0.038,48,LW,2007,2010
Joel Rechlicz,26,0,1,1,0.038,105,RW,2008,2012
Val Hoffinger,28,0,1,1,0.036,30,D,1927,1929
Warren Luhning,29,0,1,1,0.034,21,RW,1997,2000
Bennett Wolf,30,0,1,1,0.033,133,D,1980,1983
Charles Cahill,32,0,1,1,0.031,4,RW,1925,1927
James Donnelly,34,0,1,1,0.029,14,D,1926,1927
Don Ward,34,0,1,1,0.029,16,D,1957,1960
Nathan McIver,36,0,1,1,0.028,95,D,2006,2009
Doug Doull,37,0,1,1,0.027,151,LW,2003,2006
James Hughes,40,0,1,1,0.025,48,D,1929,1930
Murray Anderson,40,0,1,1,0.025,68,D,1974,1975
Robin Bartel,41,0,1,1,0.024,14,D,1985,1987
Bob Davie,41,0,1,1,0.024,25,D,1933,1936
Johnathan Aitken,44,0,1,1,0.023,70,D,1999,2004
Larry Molyneaux,45,0,1,1,0.022,20,D,1937,1939
Jim Agnew,81,0,1,1,0.012,257,D,1986,1993
Brennan Evans,0,0,0,0,0.0,0,D,2003,2004
Brock Tredway,0,0,0,0,0.0,0,LW,1981,1982
Bill Anderson,0,0,0,0,0.0,0,D,1942,1943
Don Cherry,0,0,0,0,0.0,0,D,1954,1955
Alex Belzile,0,0,0,0,0.0,0,RW/C,2019,2020
Igor Nikulin,0,0,0,0,0.0,0,RW,1996,1997
Michel Deziel,0,0,0,0,0.0,0,LW,1974,1975
Steve Andrascik,0,0,0,0,0.0,0,RW,1971,1972
Chris Hayes,0,0,0,0,0.0,0,LW,1971,1972
Doug Anderson,0,0,0,0,0.0,0,C,1952,1953
Ken Davies,0,0,0,0,0.0,0,C,1947,1948
Wayne Brown,0,0,0,0,0.0,0,RW,1953,1954
Gord Wilson,0,0,0,0,0.0,0,LW,1954,1955
Jack Stanfield,0,0,0,0,0.0,0,LW,1965,1966
Gary Collins,0,0,0,0,0.0,0,C,1958,1959
David Salvian,0,0,0,0,0.0,0,RW,1976,1977
Leo Thiffault,0,0,0,0,0.0,0,LW,1967,1968
Eddie Emberg,0,0,0,0,0.0,0,C,1944,1945
Gord Haidy,0,0,0,0,0.0,0,RW,1949,1950
Mike Corbett,0,0,0,0,0.0,0,RW,1967,1968
Doug McKay,0,0,0,0,0.0,0,LW,1949,1950
Sidney McNabney,0,0,0,0,0.0,0,C,1950,1951
Stan Long,0,0,0,0,0.0,0,D,1951,1952
Butch Stahan,0,0,0,0,0.0,0,D,1944,1945
Gerry Reid,0,0,0,0,0.0,0,C,1948,1949
Thomas Harley,0,0,0,0,0.0,0,D,2019,2021
Ronnie Sundin,1,0,0,0,0.0,0,D,1997,1998
Mikko Jokela,1,0,0,0,0.0,0,D,2002,2003
Martti Jarventie,1,0,0,0,0.0,0,D,2001,2002
Masi Marjamaki,1,0,0,0,0.0,0,LW,2005,2006
Tomi Maki,1,0,0,0,0.0,0,C/W,2006,2007
Petri Varis,1,0,0,0,0.0,0,RW,1997,1998
Bjorn Skaare,1,0,0,0,0.0,0,C,1978,1979
Perttu Lindgren,1,0,0,0,0.0,0,C,2009,2010
Johan Motin,1,0,0,0,0.0,0,D,2009,2010
Andre Petersson,1,0,0,0,0.0,0,LW/RW,2011,2012
David Moravec,1,0,0,0,0.0,0,LW,1999,2000
Chris Kelleher,1,0,0,0,0.0,0,D,2001,2002
Darren Boyko,1,0,0,0,0.0,0,C,1988,1989
Jamie Hunt,1,0,0,0,0.0,0,D,2006,2007
Nate Raduns,1,0,0,0,0.0,0,RW,2008,2009
Tim Ramholt,1,0,0,0,0.0,0,D,2007,2008
Layne Ulmer,1,0,0,0,0.0,0,C,2003,2004
Libor Pivko,1,0,0,0,0.0,0,LW,2003,2004
Curtis Murphy,1,0,0,0,0.0,0,D,2002,2003
Vaclav Pletka,1,0,0,0,0.0,0,LW,2001,2002
Stanislav Gron,1,0,0,0,0.0,0,C,2000,2001
Philip Holm,1,0,0,0,0.0,0,D,2017,2018
Shawn Lalonde,1,0,0,0,0.0,0,D,2012,2013
Jamie Arniel,1,0,0,0,0.0,0,C,2010,2011
Ryan Thang,1,0,0,0,0.0,0,RW/LW,2011,2012
Brodie Dupont,1,0,0,0,0.0,0,LW/C,2010,2011
Jamie Fraser,1,0,0,0,0.0,0,D,2008,2009
Joey Tenute,1,0,0,0,0.0,0,C,2005,2006
Scott Jackson,1,0,0,0,0.0,0,D,2009,2010
Bud Holloway,1,0,0,0,0.0,0,RW,2015,2016
Scott Lehman,1,0,0,0,0.0,0,D,2008,2009
Milan Kytnar,1,0,0,0,0.0,0,C,2011,2012
Zack Fitzgerald,1,0,0,0,0.0,0,D,2007,2008
Darcy Campbell,1,0,0,0,0.0,0,D,2006,2007
Nick Petrecki,1,0,0,0,0.0,0,D,2012,2013
Will O'Neill,1,0,0,0,0.0,0,D,2017,2018
Peter LeBlanc,1,0,0,0,0.0,0,LW/C,2013,2014
Shane Sims,1,0,0,0,0.0,0,D,2010,2011
Brad Ralph,1,0,0,0,0.0,0,C,2000,2001
Cole Jarrett,1,0,0,0,0.0,0,D,2005,2006
Joey Mormina,1,0,0,0,0.0,0,D,2007,2008
Andrew Joudrey,1,0,0,0,0.0,0,C,2011,2012
Grant Lewis,1,0,0,0,0.0,0,D,2008,2009
Matt Watkins,1,0,0,0,0.0,0,C/LW,2011,2012
Mark Van Guilder,1,0,0,0,0.0,0,C,2013,2014
Greg Kuznik,1,0,0,0,0.0,0,D,2000,2001
Joonas Nattinen,1,0,0,0,0.0,0,C/RW,2013,2014
Michael Keranen,1,0,0,0,0.0,0,W/C,2015,2016
Ryan Bourque,1,0,0,0,0.0,0,C/LW,2014,2015
Maxime Sauve,1,0,0,0,0.0,0,C,2011,2012
Anton Klementyev,1,0,0,0,0.0,0,D,2009,2010
Roman Graborenko,1,0,0,0,0.0,0,D,2014,2015
Garrett Mitchell,1,0,0,0,0.0,0,RW/C,2016,2017
Mike Murray,1,0,0,0,0.0,0,C,1987,1988
Sean McMorrow,1,0,0,0,0.0,0,RW,2002,2003
Brendan Ranford,1,0,0,0,0.0,0,LW/RW,2014,2015
Eric Lavigne,1,0,0,0,0.0,0,D,1994,1995
Bud Stefanski,1,0,0,0,0.0,0,F,1977,1978
Wayne Groulx,1,0,0,0,0.0,0,C,1984,1985
Jozef Cierny,1,0,0,0,0.0,0,LW,1993,1994
Colin Smith,1,0,0,0,0.0,0,C/RW,2014,2015
Fredrik Handemark,1,0,0,0,0.0,0,C,2020,2021
Shawn Heaphy,1,0,0,0,0.0,0,C,1992,1993
Jamie Doornbosch,1,0,0,0,0.0,0,D,2010,2011
Darryl Olsen,1,0,0,0,0.0,0,D,1991,1992
Scott McKay,1,0,0,0,0.0,0,RW,1993,1994
Yves Heroux,1,0,0,0,0.0,0,RW,1986,1987
Francois Guay,1,0,0,0,0.0,0,C,1989,1990
David Van Drunen,1,0,0,0,0.0,0,D,1999,2000
Alex Friesen,1,0,0,0,0.0,0,C,2015,2016
Gerry Abel,1,0,0,0,0.0,0,LW,1966,1967
Kris Foucault,1,0,0,0,0.0,0,LW,2011,2012
Rudy Ahlin,1,0,0,0,0.0,0,LW,1937,1938
Jesse Blacker,1,0,0,0,0.0,0,D,2014,2015
David Sloane,1,0,0,0,0.0,0,D/RW,2008,2009
Geoff Kinrade,1,0,0,0,0.0,0,D,2008,2009
Jamie Fritsch,1,0,0,0,0.0,0,D,2008,2009
Greg Koehler,1,0,0,0,0.0,0,C,2000,2001
Shane MacEachern,1,0,0,0,0.0,0,C,1987,1988
Bill Arnold,1,0,0,0,0.0,0,C/RW,2013,2014
Alexander Andriyevsky,1,0,0,0,0.0,0,RW,1992,1993
Darrel Anholt,1,0,0,0,0.0,0,D,1983,1984
Don Waddell,1,0,0,0,0.0,0,D,1980,1981
Jonathan Delisle,1,0,0,0,0.0,0,RW,1998,1999
Cody Kunyk,1,0,0,0,0.0,0,C,2013,2014
Curtis Valk,1,0,0,0,0.0,0,C,2017,2018
Lindsay Vallis,1,0,0,0,0.0,0,RW,1993,1994
Cameron Hughes,1,0,0,0,0.0,0,C/LW,2019,2020
Morgan Klimchuk,1,0,0,0,0.0,0,LW,2017,2018
Jeff Libby,1,0,0,0,0.0,0,D,1997,1998
Stephen Tepper,1,0,0,0,0.0,0,RW,1992,1993
B.J. Young,1,0,0,0,0.0,0,RW,1999,2000
Erich Goldmann,1,0,0,0,0.0,0,D,1999,2000
Greg Crozier,1,0,0,0,0.0,0,LW,2000,2001
Ryan Huska,1,0,0,0,0.0,0,LW,1997,1998
Rod Willard,1,0,0,0,0.0,0,LW,1982,1983
Justin Hocking,1,0,0,0,0.0,0,D,1993,1994
Nick Vachon,1,0,0,0,0.0,0,C,1996,1997
Peter Fiorentino,1,0,0,0,0.0,0,D,1991,1992
Evan McEneny,1,0,0,0,0.0,0,D,2016,2017
Dan Renouf,1,0,0,0,0.0,0,D,2016,2017
Sean Toomey,1,0,0,0,0.0,0,C,1986,1987
Ken Lovsin,1,0,0,0,0.0,0,D,1990,1991
Tyler Larter,1,0,0,0,0.0,0,C,1989,1990
Trent Kaese,1,0,0,0,0.0,0,F,1988,1989
Kirk Tomlinson,1,0,0,0,0.0,0,LW,1987,1988
Ken Mann,1,0,0,0,0.0,0,RW,1975,1976
Rob Laird,1,0,0,0,0.0,0,LW,1979,1980
Stephane Brochu,1,0,0,0,0.0,0,D,1988,1989
Anthony Greco,1,0,0,0,0.0,0,RW/LW,2018,2019
Bobby Joliat,1,0,0,0,0.0,0,RW,1924,1925
Dean Clark,1,0,0,0,0.0,0,LW,1983,1984
Bill Johansen,1,0,0,0,0.0,0,C,1949,1950
James Latos,1,0,0,0,0.0,0,RW,1988,1989
Brett MacDonald,1,0,0,0,0.0,0,D,1987,1988
Darin Sceviour,1,0,0,0,0.0,0,F,1986,1987
Peter Hayek,1,0,0,0,0.0,0,D/LW,1981,1982
Colin Chisholm,1,0,0,0,0.0,0,D,1986,1987
Vic Teal,1,0,0,0,0.0,0,RW,1973,1974
Ron Homenuke,1,0,0,0,0.0,0,F,1972,1973
Bogdan Yakimov,1,0,0,0,0.0,0,C,2014,2015
Sean Malone,1,0,0,0,0.0,0,C,2016,2017
Gary Donaldson,1,0,0,0,0.0,0,F,1973,1974
Gene Sobchuk,1,0,0,0,0.0,0,LW,1973,1974
Brian Pinho,1,0,0,0,0.0,0,C,2019,2021
Kim MacDougall,1,0,0,0,0.0,0,D,1974,1975
George McNaughton,1,0,0,0,0.0,0,RW,1919,1920
Alex Wellington,1,0,0,0,0.0,0,RW,1919,1920
Giovanni Fiore,1,0,0,0,0.0,0,LW/RW,2017,2018
Max Bennett,1,0,0,0,0.0,0,RW,1935,1936
Garry Blaine,1,0,0,0,0.0,0,RW,1954,1955
Spence Tatchell,1,0,0,0,0.0,0,F,1942,1943
Bob McDonald,1,0,0,0,0.0,0,RW,1943,1944
Lloyd Mohns,1,0,0,0,0.0,0,D,1943,1944
Henry Dyck,1,0,0,0,0.0,0,LW,1943,1944
Len Wharton,1,0,0,0,0.0,0,D,1944,1945
Alex Ritson,1,0,0,0,0.0,0,C,1944,1945
Melvin Read,1,0,0,0,0.0,0,C,1946,1947
Larry Kwong,1,0,0,0,0.0,0,C,1947,1948
Val Delory,1,0,0,0,0.0,0,LW,1948,1949
Dick Kotanen,1,0,0,0,0.0,0,D,1950,1951
Bill Wylie,1,0,0,0,0.0,0,C,1950,1951
Robert Wood,1,0,0,0,0.0,0,D,1950,1951
William Chalmers,1,0,0,0,0.0,0,C,1953,1954
Dick Bouchard,1,0,0,0,0.0,0,RW,1954,1955
Trevor Fahey,1,0,0,0,0.0,0,LW,1964,1965
Mike Keating,1,0,0,0,0.0,0,LW,1977,1978
Greg Hickey,1,0,0,0,0.0,0,LW,1977,1978
Moe Robinson,1,0,0,0,0.0,0,D,1979,1980
Marcel Fillion,1,0,0,0,0.0,0,RW,1944,1945
Armand Delmonte,1,0,0,0,0.0,0,RW,1945,1946
Ken Block,1,0,0,0,0.0,0,D,1970,1971
Bart Bradley,1,0,0,0,0.0,0,C,1949,1950
Skip Teal,1,0,0,0,0.0,0,C,1954,1955
Dan Poliziani,1,0,0,0,0.0,0,RW,1958,1959
Murray Davison,1,0,0,0,0.0,0,D,1965,1966
Jake Rathwell,1,0,0,0,0.0,0,LW,1974,1975
Vern Smith,1,0,0,0,0.0,0,D,1984,1985
Chuck Blair,1,0,0,0,0.0,0,RW,1948,1949
Hillary Menard,1,0,0,0,0.0,0,LW,1953,1954
John Michaluk,1,0,0,0,0.0,0,LW,1950,1951
Raymie Skilton,1,0,0,0,0.0,0,D,1917,1918
Kenneth Thompson,1,0,0,0,0.0,0,LW,1917,1918
Paul Jacobs,1,0,0,0,0.0,0,D,1918,1919
Jeff Eatough,1,0,0,0,0.0,0,RW,1981,1982
Mitch Reinke,1,0,0,0,0.0,0,D,2017,2018
Mike Chernoff,1,0,0,0,0.0,0,LW,1968,1969
C.J. Suess,1,0,0,0,0.0,0,LW,2019,2021
Paul Knox,1,0,0,0,0.0,0,RW,1954,1955
Jack Martin,1,0,0,0,0.0,0,RW,1960,1961
Bruce Draper,1,0,0,0,0.0,0,F,1962,1963
Charles Pletsch,1,0,0,0,0.0,0,F,1920,1921
Charles Fraser,1,0,0,0,0.0,0,D,1923,1924
Brandon Gignac,1,0,0,0,0.0,0,C/LW,2018,2019
Nicolas Meloche,1,0,0,0,0.0,0,D,2020,2021
Sidney Veysey,1,0,0,0,0.0,0,C,1977,1978
Brady Keeper,1,0,0,0,0.0,0,D,2018,2021
Barney Stanley,1,0,0,0,0.0,0,RW,1927,1928
Austin Poganski,1,0,0,0,0.0,0,RW,2019,2021
Galen Head,1,0,0,0,0.0,0,RW,1967,1968
Farrand Gillie,1,0,0,0,0.0,0,LW,1928,1929
Claude Cardin,1,0,0,0,0.0,0,LW,1967,1968
Roland Lafleur,1,0,0,0,0.0,0,LW,1924,1925
Roger Pelletier,1,0,0,0,0.0,0,D,1967,1968
Evariste Payer,1,0,0,0,0.0,0,C,1917,1918
Glenn Tomalty,1,0,0,0,0.0,0,C,1979,1980
Cole Smith,1,0,0,0,0.0,0,LW,2020,2021
Cal Foote,1,0,0,0,0.0,0,D,2020,2021
Jake Walman,1,0,0,0,0.0,0,D,2019,2021
Tony Poeta,1,0,0,0,0.0,0,RW,1951,1952
Bob Whitlock,1,0,0,0,0.0,0,C,1969,1970
Dave Chartier,1,0,0,0,0.0,0,C,1980,1981
Stephen Hazlett,1,0,0,0,0.0,0,C,1979,1980
Keith Wright,1,0,0,0,0.0,0,LW,1967,1968
Rob Garner,1,0,0,0,0.0,0,C,1982,1983
Alex Forsyth,1,0,0,0,0.0,0,C,1976,1977
Jeff McDill,1,0,0,0,0.0,0,RW,1976,1977
Ed Nicholson,1,0,0,0,0.0,0,D,1947,1948
Nels Podolsky,1,0,0,0,0.0,0,LW,1948,1949
Mike Buchanan,1,0,0,0,0.0,0,D,1951,1952
John McCahill,1,0,0,0,0.0,0,D,1977,1978
Fred Doherty,1,0,0,0,0.0,0,F,1918,1919
Charles Fortier,1,0,0,0,0.0,0,F,1923,1924
Dave Rochefort,1,0,0,0,0.0,0,C,1966,1967
Walt Farrant,1,0,0,0,0.0,0,RW,1943,1944
Blair Barnes,1,0,0,0,0.0,0,RW,1982,1983
Jack Borotsik,1,0,0,0,0.0,0,LW,1974,1975
Roger Cormier,1,0,0,0,0.0,0,RW,1925,1926
Hugh Currie,1,0,0,0,0.0,0,D,1950,1951
Frank Steele,1,0,0,0,0.0,0,RW,1930,1931
Ken Duggan,1,0,0,0,0.0,0,D,1987,1988
Neil Hawryliw,1,0,0,0,0.0,0,RW,1981,1982
John Ingram,1,0,0,0,0.0,0,C,1924,1925
Earl Johnson,1,0,0,0,0.0,0,LW,1953,1954
Bob Wilson,1,0,0,0,0.0,0,D,1953,1954
Ernie Laforce,1,0,0,0,0.0,0,D,1942,1943
Bobby Lee,1,0,0,0,0.0,0,C,1942,1943
Dave Lucas,1,0,0,0,0.0,0,D,1962,1963
Frank Mailley,1,0,0,0,0.0,0,D,1942,1943
Bob McCulley,1,0,0,0,0.0,0,D,1934,1935
Bill Mitchell,1,0,0,0,0.0,0,D,1963,1964
Brian Murphy,1,0,0,0,0.0,0,C,1974,1975
Bert Peer,1,0,0,0,0.0,0,RW,1939,1940
Barry Sullivan,1,0,0,0,0.0,0,RW,1947,1948
Brian Stapleton,1,0,0,0,0.0,0,RW,1975,1976
Nicolas Beaudin,1,0,0,0,0.0,0,D,2019,2021
Victor Soderstrom,1,0,0,0,0.0,0,D,2020,2021
Nicholas Robertson,1,0,0,0,0.0,0,C/LW,2019,2021
Jonas Johansson,1,0,0,0,0.0,2,RW,2005,2006
Luke Sellars,1,0,0,0,0.0,2,D,2001,2002
Wade Skolney,1,0,0,0,0.0,2,D,2005,2006
Sean Bentivoglio,1,0,0,0,0.0,2,LW,2008,2009
Prestin Ryan,1,0,0,0,0.0,2,D,2005,2006
Julien Vauclair,1,0,0,0,0.0,2,D,2003,2004
Scott Glennie,1,0,0,0,0.0,2,RW/C,2011,2012
Tyler Cuma,1,0,0,0,0.0,2,D,2011,2012
Alexei S. Vasilyev,1,0,0,0,0.0,2,D,1999,2000
Dalton Smith,1,0,0,0,0.0,2,LW,2019,2020
Matt Campanale,1,0,0,0,0.0,2,D,2010,2011
Sergei Klimovich,1,0,0,0,0.0,2,C,1996,1997
Udo Kiessling,1,0,0,0,0.0,2,D,1982,1983
Jonathan Racine,1,0,0,0,0.0,2,D,2013,2014
Scott Robinson,1,0,0,0,0.0,2,RW,1989,1990
Darwin McCutcheon,1,0,0,0,0.0,2,D,1981,1982
Brandy Semchuk,1,0,0,0,0.0,2,RW,1992,1993
Kevin MacDonald,1,0,0,0,0.0,2,D,1993,1994
Martin St-Amour,1,0,0,0,0.0,2,LW,1992,1993
Tom Colley,1,0,0,0,0.0,2,C,1974,1975
Lester Patrick,1,0,0,0,0.0,2,D,1926,1928
Rich Healey,1,0,0,0,0.0,2,D,1960,1961
Randy Turnbull,1,0,0,0,0.0,2,D,1981,1982
Stan Kemp,1,0,0,0,0.0,2,D,1948,1949
Andy Barbe,1,0,0,0,0.0,2,RW,1950,1951
Bob Sabourin,1,0,0,0,0.0,2,LW,1951,1952
Josh Teves,1,0,0,0,0.0,2,D,2018,2019
Rem Pitlick,1,0,0,0,0.0,2,C,2018,2019
Blair MacKasey,1,0,0,0,0.0,2,D,1976,1977
Gordon Reid,1,0,0,0,0.0,2,D,1936,1937
Marty Zoborosky,1,0,0,0,0.0,2,D,1944,1945
Bob Geale,1,0,0,0,0.0,2,C,1984,1985
Brian Lundberg,1,0,0,0,0.0,2,D,1982,1983
Bob Hurlbut,1,0,0,0,0.0,2,LW,1974,1975
Irv McGibbon,1,0,0,0,0.0,2,RW,1942,1943
Ty Dellandrea,1,0,0,0,0.0,2,C,2020,2021
Jonathan Sigalet,1,0,0,0,0.0,4,D,2006,2007
Pat Mayer,1,0,0,0,0.0,4,D,1987,1988
James Cunningham,1,0,0,0,0.0,4,LW,1977,1978
Jeremy Yablonski,1,0,0,0,0.0,5,RW,2003,2004
Sean Selmser,1,0,0,0,0.0,5,LW,2000,2001
Curtis Hamilton,1,0,0,0,0.0,5,LW/RW,2014,2015
Brian Wesenberg,1,0,0,0,0.0,5,RW,1998,1999
Danny Bois,1,0,0,0,0.0,7,RW/C,2006,2007
Cam Brown,1,0,0,0,0.0,7,LW,1990,1991
Peter Nordstrom,2,0,0,0,0.0,0,LW,1998,1999
Niklas Sundblad,2,0,0,0,0.0,0,RW,1995,1996
Peter Gustavsson,2,0,0,0,0.0,0,RW,1981,1982
Tomas Srsen,2,0,0,0,0.0,0,RW,1990,1991
Olli Malmivaara,2,0,0,0,0.0,0,D,2007,2008
Shay Stephenson,2,0,0,0,0.0,0,LW,2006,2007
Brian White,2,0,0,0,0.0,0,D,1998,1999
Alexei Mikhnov,2,0,0,0,0.0,0,LW/RW,2006,2007
Jamie Tardif,2,0,0,0,0.0,0,RW,2012,2013
Adam Berti,2,0,0,0,0.0,0,LW/D,2007,2008
Mike Siklenka,2,0,0,0,0.0,0,D,2002,2004
Ian MacNeil,2,0,0,0,0.0,0,C,2002,2003
Jesse Schultz,2,0,0,0,0.0,0,RW,2006,2007
Michael Caruso,2,0,0,0,0.0,0,D,2012,2013
Sebastien Bisaillon,2,0,0,0,0.0,0,D,2006,2007
Brock Trotter,2,0,0,0,0.0,0,W/C,2009,2010
Rob Shearer,2,0,0,0,0.0,0,C,2000,2001
Doug Lynch,2,0,0,0,0.0,0,D,2003,2004
Danny Irmen,2,0,0,0,0.0,0,C/RW,2009,2010
Peter Vandermeer,2,0,0,0,0.0,0,LW,2007,2008
Greg Leeb,2,0,0,0,0.0,0,C,2000,2001
Derek Whitmore,2,0,0,0,0.0,0,LW,2011,2012
Steve Brule,2,0,0,0,0.0,0,RW,1999,2003
Drew LeBlanc,2,0,0,0,0.0,0,C,2012,2013
Carter Bancks,2,0,0,0,0.0,0,LW/RW,2012,2013
Jeff Penner,2,0,0,0,0.0,0,D,2009,2010
Darcy Martini,2,0,0,0,0.0,0,D,1993,1994
Spencer Abbott,2,0,0,0,0.0,0,RW,2013,2017
Mark McNeill,2,0,0,0,0.0,0,C/RW,2015,2017
Cam Plante,2,0,0,0,0.0,0,D,1984,1985
John Ramage,2,0,0,0,0.0,0,D,2014,2016
Brendon Nash,2,0,0,0,0.0,0,D,2010,2011
Matthew Konan,2,0,0,0,0.0,0,D,2012,2013
